id,date,ligne,four,probleme,equipement,famille,duree_min,source,famille_norm,equipement_norm,famille_affichage,equipement_affichage
1725,2024-08-03,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°5,40.0,import_2024,section n°5,rippeur,Section n°5,rippeur
1726,2024-08-03,L13,Four 1,Variation montée poincon,poincon,Section n°1,120.0,import_2024,section n°1,poincon,Section n°1,poincon
1727,2024-08-04,L13,Four 1,Probléme percage,Percage,Section n°9,45.0,import_2024,section n°9,percage,Section n°9,percage
1728,2024-08-04,L13,Four 1,Probléme percage,Percage,Section n°2,45.0,import_2024,section n°2,percage,Section n°2,percage
1729,2024-08-04,L13,Four 1,Probléme percage,Percage,Section n°5,45.0,import_2024,section n°5,percage,Section n°5,percage
1730,2024-08-04,L13,Four 1,Probléme percage,Percage,Section n°6,45.0,import_2024,section n°6,percage,Section n°6,percage
1731,2024-08-04,L13,Four 1,Réparation ventilation MDB,ventilation,Section n°10,30.0,import_2024,section n°10,ventilation,Section n°10,ventilation
1732,2024-08-04,L13,Four 1,Réparation ventilation MDB,ventilation,Section n°9,30.0,import_2024,section n°9,ventilation,Section n°9,ventilation
1733,2024-08-04,L13,Four 1,Réparation ventilation MDB,ventilation,Section n°6,30.0,import_2024,section n°6,ventilation,Section n°6,ventilation
1734,2024-08-04,L13,Four 1,Réparation ventilation MDB,ventilation,Section n°5,30.0,import_2024,section n°5,ventilation,Section n°5,ventilation
1735,2024-08-04,L13,Four 1,Bras de transfert,bras de transfert,Section n°9,25.0,import_2024,section n°9,bras de transfert,Section n°9,bras de transfert
1736,2024-08-04,L13,Four 1,Bras de transfert,bras de transfert,Section n°1,15.0,import_2024,section n°1,bras de transfert,Section n°1,bras de transfert
1737,2024-08-04,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°3,20.0,import_2024,section n°3,rippeur,Section n°3,rippeur
1738,2024-08-04,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°5,20.0,import_2024,section n°5,rippeur,Section n°5,rippeur
1739,2024-08-04,L13,Four 1,Variation montée poincon,poincon,Section n°2,45.0,import_2024,section n°2,poincon,Section n°2,poincon
1740,2024-08-04,L13,Four 1,Variation montée poincon,poincon,Section n°5,45.0,import_2024,section n°5,poincon,Section n°5,poincon
1741,2024-08-04,L13,Four 1,Variation montée poincon,poincon,Section n°6,45.0,import_2024,section n°6,poincon,Section n°6,poincon
1742,2024-08-04,L13,Four 1,Variation montée poincon,poincon,Section n°9,45.0,import_2024,section n°9,poincon,Section n°9,poincon
